X,Y,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
29.481978,-1.657729,RW201000000378,RW,2010.000000,378.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.657729,29.481978,2367.000000,2377.000000,WGS84
30.358161,-1.799602,RW201000000379,RW,2010.000000,379.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,26.000000,Gatsibo,GPS,R,-1.799602,30.358161,1657.000000,1658.000000,WGS84
30.324192,-1.992058,RW201000000380,RW,2010.000000,380.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,24.000000,Rwamagana,GPS,R,-1.992058,30.324192,1617.000000,1621.000000,WGS84
30.0644,-1.921521,RW201000000381,RW,2010.000000,381.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,2.000000,Gasabo,GPS,U,-1.921521,30.064400,1491.000000,1485.000000,WGS84
29.948676,-2.198356,RW201000000382,RW,2010.000000,382.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,9.000000,Ruhango,GPS,R,-2.198356,29.948676,1475.000000,1464.000000,WGS84
30.027391,-1.983305,RW201000000383,RW,2010.000000,383.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-1.983305,30.027391,1661.000000,1648.000000,WGS84
29.350226,-1.728739,RW201000000384,RW,2010.000000,384.000000,RW,RW14,Western,NULL,NULL,3.000000,West,14.000000,Rubavu,GPS,R,-1.728739,29.350226,2177.000000,2167.000000,WGS84
30.500769,-2.198063,RW201000000385,RW,2010.000000,385.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,29.000000,Ngoma,GPS,R,-2.198063,30.500769,1390.000000,1384.000000,WGS84
29.418105,-2.792961,RW201000000386,RW,2010.000000,386.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,6.000000,Nyaruguru,GPS,R,-2.792961,29.418105,2407.000000,2401.000000,WGS84
30.410905,-1.816872,RW201000000387,RW,2010.000000,387.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,26.000000,Gatsibo,GPS,R,-1.816872,30.410905,1524.000000,1523.000000,WGS84
29.780691,-2.731362,RW201000000388,RW,2010.000000,388.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,5.000000,Gisagara,GPS,R,-2.731362,29.780691,1571.000000,1557.000000,WGS84
29.740053,-2.681601,RW201000000389,RW,2010.000000,389.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,7.000000,Huye,GPS,R,-2.681601,29.740053,1733.000000,1720.000000,WGS84
30.094821,-1.976122,RW201000000390,RW,2010.000000,390.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-1.976122,30.094821,1426.000000,1433.000000,WGS84
29.44361,-1.570421,RW201000000391,RW,2010.000000,391.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.570421,29.443610,2552.000000,2545.000000,WGS84
29.595184,-1.733422,RW201000000392,RW,2010.000000,392.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.733422,29.595184,2320.000000,2331.000000,WGS84
29.716773,-2.598745,RW201000000393,RW,2010.000000,393.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,7.000000,Huye,GPS,U,-2.598745,29.716773,1733.000000,1724.000000,WGS84
29.740522,-2.075481,RW201000000394,RW,2010.000000,394.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,10.000000,Muhanga,GPS,U,-2.075481,29.740522,1860.000000,1862.000000,WGS84
29.509372,-1.444471,RW201000000395,RW,2010.000000,395.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,21.000000,Musanze,GPS,R,-1.444471,29.509372,2490.000000,2484.000000,WGS84
30.096497,-2.142409,RW201000000396,RW,2010.000000,396.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,30.000000,Bugesera,GPS,R,-2.142409,30.096497,1409.000000,1417.000000,WGS84
29.467918,-2.465316,RW201000000397,RW,2010.000000,397.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,8.000000,Nyamagabe,GPS,R,-2.465316,29.467918,2183.000000,2190.000000,WGS84
29.743956,-1.928739,RW201000000398,RW,2010.000000,398.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,10.000000,Muhanga,GPS,R,-1.928739,29.743956,1688.000000,1685.000000,WGS84
30.381223,-1.275019,RW201000000399,RW,2010.000000,399.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,25.000000,Nyagatare,GPS,R,-1.275019,30.381223,1425.000000,1428.000000,WGS84
29.797733,-1.948766,RW201000000400,RW,2010.000000,400.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,11.000000,Kamonyi,GPS,R,-1.948766,29.797733,1633.000000,1629.000000,WGS84
30.037682,-1.970013,RW201000000401,RW,2010.000000,401.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-1.970013,30.037682,1583.000000,1577.000000,WGS84
30.047549,-1.956508,RW201000000402,RW,2010.000000,402.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-1.956508,30.047549,1401.000000,1408.000000,WGS84
29.684502,-1.655143,RW201000000403,RW,2010.000000,403.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,20.000000,Gakenke,GPS,R,-1.655143,29.684502,1797.000000,1775.000000,WGS84
29.032055,-2.539896,RW201000000404,RW,2010.000000,404.000000,RW,RW14,Western,NULL,NULL,3.000000,West,18.000000,Nyamasheke,GPS,R,-2.539896,29.032055,1432.000000,1407.000000,WGS84
